DICTIONARY OVERLAP REVIEW - ALL 26,721 WORDS
============================================================

SUMMARY:
Total overlapping words: 26,721
Found in first names: 21,430
Found in last names: 13,512
Found in both: 8,221

CLAUDE'S RECOMMENDATIONS:
SUGGESTED REMOVALS: 78 words
SUGGESTED KEEPS: 26643 words
UNCERTAIN/NEED REVIEW: 15 words

REMOVE (78 words):
----------------------------------------
  arm         , bed         , bike        , blue        , boat        , buffalo     , bus         , cat         , chest       , cow         
  yoe         , yoga        , yogas       , yoghurt     , yogi        , yogin       , yogini      , yoho        , yoi         , yojan       
  yojana      , yok         , yoke        , yokel       , yoker       , yokohama    , yoky        , yolky       , yom         , yomer       
  yon         , yonder      , yoni        , yonic       , yonis       , yonker      , yonkers     , yonnie      , yook        , yor         
  yore        , yorker      , yorkshire   , yorlin      , yot         , yote        , youd        , youl        , young       , younger     
  youngers    , youngest    , youngs      , youngster   , youngun     , younker     , youp        , yous        , youse       , youve       
  yoven       , yow         , yowler      , yox         , yoy         , yoyo        , yr          , ys          , yt          , yuan        
  yuca        , yucca       , yuchi       , yucky       , yug         , yuga        , yuh         , yuk         , yuke        , yuki        
  yukking     , yukon       , yulan       , yule        , yum         , yuma        , yuman       , yun         , yunker      , yup         
  yurok       , yurt        , yus         , yvonne      , za          , zabra       , zac         , zach        , zachariah   , zack        
  zad         , zadruga     , zaffar      , zaffer      , zaffir      , zafree      , zag         , zain        , zaire       , zak         
  zaman       , zambezi     , zambia      , zambian     , zambo       , zamia       , zampogna    , zan         , zander      , zanders     
  zanella     , zant        , zante       , zany        , zanza       , zap         , zaparo      , zapas       , zapatero    , zar         
  zarema      , zarzuela    , zat         , zati        , zax         , zayat       , zea         , zeal        , zealous     , zebec       
  zebedee     , zebulun     , zecchini    , zecchino    , zechariah   , zed         , zee         , zeed        , zehner      , zein        
  zeiss       , zek         , zeke        , zeks        , zel         , zemi        , zemni       , zen         , zenaida     , zend        
  zenith      , zenobia     , zentner     , zenu        , zep         , zephaniah   , zephyr      , zer         , zerda       , zero        
  zeroing     , zest        , zeta        , zeus        , zho         , ziara       , ziarat      , zieger      , ziff        , zig         
  zigan       , zila        , zilch       , zill        , zilla       , zillah      , zills       , zilpah      , zimbi       , zimmy       
  zineb       , zing        , zingara     , zingaro     , zinger      , zink        , zinke       , zinnia      , zion        , zip         
  zipa        , zipper      , zippy       , zira        , zirak       , ziram       , zit         , ziti        , zizel       , zizia       
  zizz        , zloty       , zn          , zo          , zoa         , zobo        , zocco       , zogo        , zoll        , zolle       
  zombi       , zona        , zonda       , zone        , zoo         , zool        , zoom        , zoona       , zori        , zorro       
  zowie       , zs          , zucco       , zuleika     , zulu        , zulus       , zuni        , zurich      , zuza        , zwanziger   
  zyga        , zygote      , zyme        


UNCERTAIN (15 words):
----------------------------------------
  bear        , bird        , black       , brown       , fish        , fox         , gray        , green       , grey        , horse       
  lion        , seven       , tiger       , white       , wolf        


COMPLETE ALPHABETICAL LIST (ALL 26,721 WORDS):
==================================================

aa             aaa            aah            aahed          aal            aam            aani           aaron          aaru           aas            ab             aba            abaca          abacus         abada          abaddon        abadia         abaka          abama          abanet         
abanga         abas           abase          abash          abassi         abate          abay           abba           abbas          abbasi         abbassi        abbate         abbe           abbes          abbess         abbey          abbie          abbot          abbott         abby           
abd            abdal          abdali         abdat          abdiel         abdom          abe            abeam          abear          abed           abede          abel           abele          abeles         abelia         abelian        abend          aberdeen       abernethy      aberr          
